source,target,weight
219,1888,0.041923
220,832,0.1202
220,1802,0.063465
221,1641,0.036888
222,675,0.036312
222,1899,0.049596
222,1902,0.144105
222,742,0.111906
222,858,0.035962
222,510,0.04655
222,2853,0.037396
222,568,0.090646
222,1212,0.100487
223,413,0.182539
224,565,0.08868
224,2653,0.039799
224,2050,0.06572
225,419,0.048744
225,498,0.060201
225,2251,0.045638
226,279,0.082717
226,1974,0.053198
226,948,0.050882
226,2359,0.047583
226,1502,0.046227
226,2606,0.063844
227,2247,0.07757
227,1297,0.047362
228,1475,0.114482
229,366,0.06708
229,2071,0.038279
229,1188,0.098825
231,236,0.07804
231,995,0.284224
231,1981,0.053142
231,2123,0.066791
231,2757,0.052876
231,1816,0.0482
232,233,0.091184
232,1742,0.071095
232,2297,0.066751
232,1580,0.066845
233,538,0.069611
233,1301,0.305486
233,383,0.06616
233,1150,0.081844
233,887,0.044078
234,409,0.125356
234,490,0.050087
235,281,0.079151
235,1951,0.042958
235,2477,0.03933
235,2170,0.046558
236,1951,0.070306
236,2158,0.096784
236,1923,0.076595
236,259,0.054851
236,1428,0.091078
237,977,0.146294
237,1184,0.064433
237,1901,0.093744
237,1426,0.051118
237,2754,0.044876
237,689,0.085281
237,493,0.040505
238,353,0.136244
238,517,0.054303
238,512,0.052195
238,290,0.050834
238,1348,0.042025
238,1130,0.039933
238,1424,0.037192
240,2633,0.040541
240,656,0.044284
240,846,0.118399
241,2800,0.222397
241,1377,0.060893
242,1126,0.129127
242,1263,0.042023
242,1498,0.037614
242,2581,0.125232
243,737,0.03816
243,278,0.121773
243,799,0.10722
243,1293,0.036118
243,2808,0.059534
243,539,0.049209
244,754,0.10857
244,1786,0.037008
244,2451,0.060426
244,1020,0.047585
245,1017,0.068115
245,980,0.045108
245,952,0.037789
246,2097,0.077417
246,1728,0.043562
247,760,0.060745
247,2098,0.076449
248,720,0.037739
248,1238,0.082245
248,1672,0.067437
248,1832,0.041405
248,1501,0.043427
248,2050,0.039687
248,276,0.037055
248,1573,0.072615
248,1081,0.059135
249,405,0.227546
249,2264,0.053606
249,1271,0.041187
250,660,0.056776
250,274,0.182233
250,1764,0.061066
250,2210,0.046557
250,1769,0.049735
250,1650,0.042889
250,2132,0.051847
250,2113,0.046875
251,301,0.068203
251,284,0.066768
251,1433,0.061191
251,1296,0.037966
251,1089,0.085949
252,1162,0.0443
252,535,0.192595
252,1321,0.04019
252,1414,0.098398
